id,conversation_id,in_reply_to_id,in_reply_to_user_id,in_reply_to_username,quote_id,is_reply,is_quote,is_retweet,is_pinned,is_conversation_controlled,possibly_sensitive,created_at,text,lang,source_client,like_count,retweet_count,reply_count,quote_count,view_count,bookmark_count,url,twitter_url,hashtags,mentioned_usernames,urls_expanded,media_count,media_types,media_urls,card_title,card_description,card_domain,card_url,place_name,place_country,author_id,author_username,author_name,author_description,author_location,author_created_at,author_followers,author_following,author_statuses_count,author_favourites_count,author_media_count,author_is_verified,author_is_blue_verified,author_protected,author_professional_type,author_category,n_times_scraped,source_files,scraper_types,seen_via_quote_of,first_scraped_at,last_scraped_at
1105110383227035654,1105110383227035654,,,,,False,False,False,False,False,False,2019-03-11 14:17:01+00:00,Making Daylight Saving Time permanent is O.K. with me!,en,,124281,18015,17198,8400,,186,https://x.com/realDonaldTrump/status/1105110383227035654,https://twitter.com/realDonaldTrump/status/1105110383227035654,,,,0,,,,,,,,,25073877,realDonaldTrump,Donald J. Trump,45th & 47th President of the United States of America🇺🇸,,2009-03-18 13:46:38+00:00,111763728,53,59836,0,5385,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1503797632745025542,1503797632745025542,,,,,False,False,False,False,False,False,2022-03-15 18:17:49+00:00,"Passed by Unanimous Consent, S.623: Sunshine Protection Act, as amended (to make Daylight Saving Time permanent) @SenRubioPress / @SenWhitehouse / others",en,Twitter Web App,11532,2363,864,4688,,209,https://x.com/SenateCloakroom/status/1503797632745025542,https://twitter.com/SenateCloakroom/status/1503797632745025542,,SenWhitehouse,,0,,,,,,,,,372837125,SenateCloakroom,Senate Cloakroom,Operated by Senate Republican Cloakroom Staff.,The Capitol,2011-09-13 14:20:34+00:00,84627,125,16174,31,64,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1634882508658552832,1634882508658552832,,,,,False,False,False,False,False,False,2023-03-12 11:42:19+00:00,"Today is Daylight Savings, and once again we all lost an hour of sleep.  No one likes it. Changing the time twice a year is just stupid.  So why isn’t it gone?  I’ll explain:  

- Last year the US Senate voted to pass the bipartisan “Sunshine Protection Act,” to make Daylight",en,Twitter for iPhone,13108,1272,2018,249,3825305.0,226,https://x.com/krassenstein/status/1634882508658552832,https://twitter.com/krassenstein/status/1634882508658552832,,,,0,,,,,,,,,133938408,krassenstein,Brian Krassenstein,"AI, Technology, Crypto, Web3, Political commentary - Follow My Brother: @EdKrassen. Linktree: https://t.co/5Sol7rxA1E",,2010-04-17 01:43:56+00:00,998182,458449,128248,53961,15827,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1634908420892659712,1634908420892659712,,,,,False,False,False,False,False,False,2023-03-12 13:25:17+00:00,"You can curse daylight saving time, daylight saving, daylight savings, daylight savings time, and/or daylight time.

All are considered acceptable so go off.",en,Hootsuite Inc.,3748,803,96,157,465367.0,59,https://x.com/MerriamWebster/status/1634908420892659712,https://twitter.com/MerriamWebster/status/1634908420892659712,,,,0,,,,,,,,,97040343,MerriamWebster,Merriam-Webster,"noun | a reference source containing words alphabetically arranged along with information about their forms, pronunciations, functions, and etymologies","Springfield, MA",2009-12-15 19:07:56+00:00,1141335,1306,38939,26860,7723,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1721161028463915172,1721161028463915172,,,,,False,False,False,False,False,False,2023-11-05 13:42:21+00:00,"‘Daylight saving time’ is also sometimes called ‘daylight saving,’ ‘daylight savings,’ ‘daylight savings time,’ or ‘daylight time.’

So, listen to your heart.",en,Twitter for iPhone,1430,207,73,30,148635.0,14,https://x.com/MerriamWebster/status/1721161028463915172,https://twitter.com/MerriamWebster/status/1721161028463915172,,,,0,,,,,,,,,97040343,MerriamWebster,Merriam-Webster,"noun | a reference source containing words alphabetically arranged along with information about their forms, pronunciations, functions, and etymologies","Springfield, MA",2009-12-15 19:07:56+00:00,1141334,1306,38939,26860,7723,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-04-25-133.json,tweet-scraper,,2026-07-19 23:04:25.133000+00:00,2026-07-19 23:04:25.133000+00:00
1766191406513803704,1766191406513803704,,,,,False,False,False,False,False,False,2024-03-08 19:57:00+00:00,"When you're frustrated because you lost an hour this weekend due to Daylight Saving Time, remember—we don't need to do this.

I have a bill that would stop the clock changing and make Daylight Saving Time permanent. Let's get it passed.",en,Twitter Web App,1387,192,303,38,60347.0,7,https://x.com/PattyMurray/status/1766191406513803704,https://twitter.com/PattyMurray/status/1766191406513803704,,,,0,,,,,,,,,293131808,PattyMurray,Senator Patty Murray,"U.S. Senator, Washington state | @SenateApprops Vice Chair | Working every day to help people and solve problems",WA & DC,2011-05-04 20:23:35+00:00,469041,2321,28393,336,5690,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1766813344063733797,1766813344063733797,,,,,False,False,False,False,False,False,2024-03-10 13:08:21+00:00,Time to end daylight savings time,en,Twitter for iPhone,5671,458,426,54,139209.0,18,https://x.com/GuntherEagleman/status/1766813344063733797,https://twitter.com/GuntherEagleman/status/1766813344063733797,,,,0,,,,,,,,,1355721251180961792,GuntherEagleman,Gunther Eagleman™,"David J. Freeman | Political Commentator | Commentary, Opinion & Satire",California to Texas in 2007,2021-01-31 03:35:19+00:00,1755824,104017,489394,1292963,63850,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-04-25-133.json,tweet-scraper,,2026-07-19 23:04:25.133000+00:00,2026-07-19 23:04:25.133000+00:00
1766843201401332035,1766843201401332035,,,,,False,False,False,False,False,False,2024-03-10 15:07:00+00:00,"Last night Americans from Florida to Washington state lost an hour of sleep for no good reason.

I have a bill that would stop this antiquated and ridiculous tradition of changing our clocks by making Daylight Saving Time permanent.",en,Twitter Web App,9727,968,1871,312,880767.0,43,https://x.com/PattyMurray/status/1766843201401332035,https://twitter.com/PattyMurray/status/1766843201401332035,,,,0,,,,,,,,,293131808,PattyMurray,Senator Patty Murray,"U.S. Senator, Washington state | @SenateApprops Vice Chair | Working every day to help people and solve problems",WA & DC,2011-05-04 20:23:35+00:00,469041,2321,28393,336,5690,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-11-27-879.json,tweet-scraper,,2026-07-19 23:11:27.879000+00:00,2026-07-19 23:11:27.879000+00:00
1848208339970183293,,,,,,False,False,False,False,False,False,2024-10-21 03:43:00+00:00,okay which presidential candidate will actually end time changes,en,Twitter Web App,401,21,30,13,1182063.0,11,,,,,,0,,,,,,,,,1634953426034458624,zeta_globin,zeta,the logical journey,nyc,2023-03-12 16:24:21+00:00,16531,2588,12480,58049,833,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-04-25-133.json,tweet-scraper,1848381761014649010,2026-07-19 23:04:25.133000+00:00,2026-07-19 23:04:25.133000+00:00
1848381761014649010,1848381761014649010,,,,1848208339970183293,False,True,False,False,False,False,2024-10-21 15:12:07+00:00,i am officially a single-issue voter and that issue is eliminating daylight savings time once and for all https://t.co/5tinC7TLZ5,en,Twitter for iPhone,14315,941,353,204,1480680.0,1013,https://x.com/sporadica/status/1848381761014649010,https://twitter.com/sporadica/status/1848381761014649010,,,,1,photo,https://pbs.twimg.com/media/GabFahGWIAE5KxH.jpg,,,,,,,1428510394960732161,sporadica,spor,"CTO (Chief Taste Officer) @ your great-grandmother's palantir-inspired drone swarm startup ,, wifeguy @_nontechnical",San Francisco,2021-08-20 00:13:35+00:00,148714,1003,44799,146579,4927,False,True,False,,,1,dataset_tweet-scraper_2026-07-19_23-04-25-133.json,tweet-scraper,,2026-07-19 23:04:25.133000+00:00,2026-07-19 23:04:25.133000+00:00
